year,event,value
1896,Gymnastics,10
1932,Figure Skating,11
1992,Rowing,11
1928,Gymnastics,11
1924,Figure Skating,11
1968,Figure Skating,11
1936,Figure Skating,11
1988,Figure Skating,11
1960,Figure Skating,11
1932,Figure Skating,11
1968,Swimming,11
1968,Swimming,12
1984,Rowing,12
1968,Swimming,12
1960,Figure Skating,12
1952,Figure Skating,12
1972,Rowing,12
2008,Swimming,12
1976,Swimming,12
1996,Swimming,12
1928,Swimming,12
1988,Figure Skating,12
1968,Figure Skating,12
1936,Figure Skating,12
1956,Figure Skating,12
1992,Swimming,12
1956,Figure Skating,12
1948,Gymnastics,12
1928,Gymnastics,12
1960,Swimming,12
1976,Athletics,12
1928,Diving,12
1976,Swimming,12
1936,Swimming,12
1964,Swimming,12
1936,Rowing,12
1928,Gymnastics,12
1976,Figure Skating,12
1964,Figure Skating,13
2004,Swimming,13
1972,Swimming,13
1968,Swimming,13
1976,Swimming,13
1994,Figure Skating,13
1976,Gymnastics,13
1948,Swimming,13
1928,Rowing,13
1976,Swimming,13
1996,Swimming,13
1968,Swimming,13
1972,Rowing,13
1912,Swimming,13
2000,Swimming,13
1980,Swimming,13
1992,Diving,13
1976,Swimming,13
1988,Swimming,13
1980,Swimming,13
1992,Figure Skating,13
2016,Swimming,13
1980,Gymnastics,13
1976,Swimming,13
1960,Swimming,13
1992,Rhythmic Gymnastics,13
2008,Swimming,13
1956,Figure Skating,13
1932,Figure Skating,13
1972,Swimming,13
1936,Swimming,13
2000,Swimming,13
1980,Diving,13
1932,Swimming,13
1992,Diving,13
1980,Figure Skating,13
1936,Diving,13
1996,Swimming,13
1996,Swimming,13
1900,Tennis,13
1928,Swimming,13
1992,Gymnastics,13
1972,Swimming,13
1968,Swimming,13
1992,Figure Skating,13
1952,Sailing,13
1964,Swimming,13
2004,Swimming,13
1992,Swimming,13
1994,Freestyle Skiing,13
1960,Rowing,13
1980,Gymnastics,13
1972,Rowing,13
1976,Gymnastics,13
1994,Short Track Speed Skating,13
2012,Swimming,13
1972,Rowing,13
1988,Swimming,13
1936,Swimming,13
1972,Speed Skating,13
1960,Rowing,13
1980,Swimming,13
1984,Swimming,13
1952,Swimming,13
1972,Swimming,13
1968,Figure Skating,13
1964,Figure Skating,13
1996,Swimming,13
1996,Swimming,13
1984,Swimming,13
1906,Athletics,13
1976,Swimming,13
1972,Swimming,13
1976,Swimming,13
1972,Rowing,13
2004,Swimming,13
1920,Diving,13
1968,Gymnastics,13
1948,Swimming,13
1960,Rowing,13
2008,Swimming,13
1936,Swimming,13
1972,Figure Skating,13
1924,Swimming,13
2016,Swimming,13
1920,Diving,13
1960,Rowing,13
1984,Diving,13
1972,Diving,13
1936,Figure Skating,13
1960,Swimming,13
1968,Swimming,13
1928,Gymnastics,13
1988,Swimming,13
1972,Swimming,13
1956,Rowing,13
1976,Swimming,13
1992,Swimming,13
2004,Swimming,13
1960,Rowing,13
2000,Swimming,14
2004,Swimming,14
2012,Swimming,14
2016,Swimming,14
2000,Swimming,14
2004,Swimming,14
2000,Swimming,14
1984,Diving,14
2016,Swimming,14
1964,Figure Skating,14
1928,Gymnastics,14
1964,Swimming,14
1980,Swimming,14
1972,Swimming,14
1972,Swimming,14
1996,Swimming,14
1964,Swimming,14
1980,Alpine Skiing,14
1948,Swimming,14
1972,Gymnastics,14
2008,Archery,14
1994,Speed Skating,14
1992,Gymnastics,14
1932,Art Competitions,14
2000,Athletics,14
1980,Figure Skating,14
1968,Swimming,14
1996,Swimming,14
1968,Gymnastics,14
1968,Swimming,14
1960,Swimming,14
2000,Swimming,14
1996,Gymnastics,14
1988,Swimming,14
1968,Swimming,14
1972,Swimming,14
1972,Swimming,14
1956,Rowing,14
1976,Swimming,14
1976,Gymnastics,14
1980,Swimming,14
2016,Swimming,14
1972,Swimming,14
1972,Speed Skating,14
1960,Swimming,14
1968,Swimming,14
1976,Gymnastics,14
1906,Rowing,14
1968,Swimming,14
1984,Swimming,14
1976,Swimming,14
1988,Diving,14
1992,Diving,14
1980,Gymnastics,14
1980,Gymnastics,14
1936,Gymnastics,14
1968,Alpine Skiing,14
1968,Rowing,14
1976,Gymnastics,14
1976,Swimming,14
2000,Judo,14
2008,Diving,14
1980,Gymnastics,14
1964,Swimming,14
1964,Swimming,14
1968,Swimming,14
1976,Swimming,14
1972,Rowing,14
1932,Swimming,14
2004,Swimming,14
2000,Gymnastics,14
1984,Swimming,14
1968,Figure Skating,14
1980,Swimming,14
1976,Figure Skating,14
1980,Gymnastics,14
1988,Swimming,14
1992,Swimming,14
1980,Diving,14
1980,Swimming,14
1972,Swimming,14
2000,Swimming,14
2012,Swimming,14
1972,Figure Skating,14
1988,Swimming,14
1976,Gymnastics,14
1980,Gymnastics,14
1976,Swimming,14
1980,Swimming,14
1976,Swimming,14
2016,Swimming,14
1992,Gymnastics,14
1972,Swimming,14
1992,Rhythmic Gymnastics,14
1976,Gymnastics,14
1906,Rowing,14
1988,Swimming,14
1988,Rhythmic Gymnastics,14
1976,Gymnastics,14
1964,Rowing,14
2008,Swimming,14
1976,Swimming,14
1976,Swimming,14
1928,Gymnastics,14
2004,Swimming,14
1968,Swimming,14
1948,Swimming,14
1972,Athletics,14
1956,Swimming,14
1936,Speed Skating,14
1972,Gymnastics,14
1980,Gymnastics,14
1996,Diving,14
1996,Diving,14
1968,Swimming,14
1992,Gymnastics,14
1972,Rowing,14
1972,Figure Skating,14
1996,Swimming,14
1976,Swimming,14
1960,Swimming,14
1992,Swimming,14
2008,Swimming,14
1972,Gymnastics,14
1972,Swimming,14
1920,Sailing,14
1928,Swimming,14
1972,Swimming,14
1972,Swimming,14
1972,Swimming,14
1984,Swimming,14
2004,Swimming,14
1936,Swimming,14
1992,Swimming,14
2000,Swimming,14
1968,Gymnastics,14
1976,Rowing,14
1996,Swimming,14
1996,Gymnastics,14
1988,Alpine Skiing,14
1968,Swimming,14
1996,Rhythmic Gymnastics,14
2004,Diving,14
1980,Gymnastics,14
1936,Swimming,14
1968,Swimming,14
1980,Swimming,14
2016,Swimming,14
2000,Rhythmic Gymnastics,14
1988,Swimming,14
1992,Rhythmic Gymnastics,14
1998,Ski Jumping,14
2012,Diving,14
1988,Swimming,14
1996,Swimming,14
1932,Swimming,14
1964,Swimming,14
1996,Gymnastics,14
1976,Swimming,14
1972,Alpine Skiing,14
1976,Figure Skating,14
1980,Gymnastics,14
1984,Gymnastics,14
1992,Swimming,14
1968,Swimming,14
1968,Figure Skating,14
1996,Swimming,14
1976,Speed Skating,14
1972,Swimming,14
1996,Gymnastics,14
1968,Swimming,14
1924,Rowing,14
2008,Swimming,14
2008,Swimming,14
1996,Diving,14
1980,Gymnastics,14
2004,Diving,14
1936,Rowing,14
1972,Speed Skating,14
1968,Figure Skating,14
1928,Rowing,14
1996,Athletics,14
1928,Gymnastics,14
1952,Rowing,14
1984,Handball,14
2004,Athletics,14
1976,Gymnastics,14
2008,Swimming,14
1972,Swimming,14
1980,Gymnastics,14
1964,Figure Skating,14
1972,Swimming,14
1936,Figure Skating,14
1972,Rowing,14
1968,Gymnastics,14
1972,Swimming,14
1960,Figure Skating,14
1948,Swimming,14
1972,Gymnastics,14
1976,Swimming,14
1992,Swimming,14
1988,Diving,14
1972,Swimming,14
1988,Swimming,14
1996,Gymnastics,14
1984,Swimming,14
1968,Gymnastics,14
1968,Swimming,14
1988,Swimming,14
1956,Swimming,14
1976,Swimming,14
1988,Swimming,14
2012,Fencing,14
1988,Swimming,14
1984,Gymnastics,14
1972,Gymnastics,14
1988,Swimming,14
1976,Swimming,14
1972,Diving,14
1924,Swimming,14
1972,Swimming,14
1952,Rowing,14
1968,Swimming,14
2004,Swimming,14
1968,Swimming,14
1976,Gymnastics,14
1928,Cycling,14
2004,Swimming,14
1988,Archery,14
1904,Lacrosse,14
1984,Gymnastics,14
1996,Gymnastics,14
1968,Swimming,14
1992,Swimming,14
1980,Speed Skating,14
2000,Diving,14
1928,Gymnastics,14
1952,Swimming,14
2008,Swimming,14
1972,Diving,14
1952,Swimming,14
2004,Swimming,14
1992,Rowing,14
1936,Figure Skating,14
2012,Swimming,14
1972,Swimming,14
1980,Swimming,14
1968,Swimming,14
1976,Swimming,14
1992,Tennis,14
1980,Rowing,14
1976,Swimming,14
1976,Figure Skating,14
1980,Figure Skating,14
1980,Swimming,14
1992,Swimming,14
1976,Swimming,14
1956,Swimming,14
1968,Gymnastics,14
1960,Swimming,14
1924,Swimming,14
1980,Gymnastics,14
2000,Rhythmic Gymnastics,14
1972,Swimming,14
1936,Swimming,14
1976,Swimming,14
2016,Swimming,14
1960,Figure Skating,14
1968,Swimming,14
1968,Swimming,14
1972,Swimming,14
1984,Rhythmic Gymnastics,14
1980,Gymnastics,14
1996,Swimming,14
2008,Swimming,14
1976,Swimming,14
1980,Gymnastics,14
1964,Gymnastics,14
2004,Athletics,14
1972,Swimming,14
1936,Diving,14
1972,Gymnastics,14
1972,Gymnastics,14
1960,Swimming,14
1976,Swimming,14
1992,Gymnastics,14
2000,Swimming,14
2006,Snowboarding,14
1906,Gymnastics,14
1992,Figure Skating,14
2012,Swimming,14
1992,Diving,14
1996,Swimming,14
1972,Swimming,14
2000,Swimming,14
2004,Swimming,14
2016,Swimming,14
1968,Rowing,14
1908,Swimming,14
1996,Diving,14
1960,Swimming,14
1976,Gymnastics,14
1928,Gymnastics,14
1964,Swimming,14
1972,Gymnastics,14
1920,Water Polo,14
2016,Swimming,14
1924,Diving,14
1928,Cycling,14
1992,Swimming,14
1980,Swimming,14
1976,Swimming,14
1980,Swimming,14
1972,Swimming,14
1988,Gymnastics,14
1992,Figure Skating,14
1976,Swimming,14
1976,Swimming,14
1972,Swimming,14
1928,Gymnastics,14
1988,Gymnastics,14
1996,Gymnastics,14
1936,Figure Skating,14
1920,Diving,14
2012,Swimming,14
1956,Figure Skating,14
1964,Swimming,14
1964,Swimming,14
1968,Swimming,14
1964,Alpine Skiing,14
1994,Short Track Speed Skating,14
1960,Swimming,14
1988,Diving,14
1980,Figure Skating,14
1988,Figure Skating,14
1972,Swimming,14
1976,Swimming,14
2008,Swimming,14
1984,Gymnastics,14
1956,Swimming,14
2004,Swimming,14
1964,Figure Skating,15
2008,Synchronized Swimming,15
2008,Synchronized Swimming,15
1900,Rowing,15
1976,Swimming,15
1992,Swimming,15
1908,Diving,15
1912,Diving,15
2008,Table Tennis,15
1980,Fencing,15
1988,Weightlifting,15
2012,Swimming,15
1988,Athletics,15
1992,Swimming,15
1976,Swimming,15
1972,Swimming,15
1964,Swimming,15
1980,Gymnastics,15
1968,Swimming,15
1936,Swimming,15
1988,Rowing,15
1968,Swimming,15
1972,Swimming,15
1972,Swimming,15
1964,Athletics,15
2004,Gymnastics,15
1968,Swimming,15
1972,Swimming,15
1968,Rowing,15
1968,Swimming,15
1936,Diving,15
2004,Swimming,15
1968,Swimming,15
1900,Croquet,15
1904,Golf,15
2004,Swimming,15
2000,Swimming,15
1924,Boxing,15
2012,Swimming,15
1972,Swimming,15
1976,Figure Skating,15
1988,Gymnastics,15
2000,Swimming,15
1976,Swimming,15
2012,Swimming,15
1992,Alpine Skiing,15
1972,Swimming,15
2012,Swimming,15
2006,Alpine Skiing,15
1956,Swimming,15
1948,Swimming,15
1976,Swimming,15
1908,Swimming,15
1980,Diving,15
1972,Swimming,15
1984,Gymnastics,15
1972,Gymnastics,15
1968,Swimming,15
1992,Alpine Skiing,15
1956,Swimming,15
1988,Swimming,15
1984,Gymnastics,15
1972,Alpine Skiing,15
1972,Swimming,15
2008,Swimming,15
1988,Gymnastics,15
1960,Swimming,15
1972,Swimming,15
1972,Swimming,15
1912,Swimming,15
1960,Swimming,15
1968,Athletics,15
2006,Ice Hockey,15
1972,Figure Skating,15
2000,Swimming,15
1988,Rhythmic Gymnastics,15
1984,Gymnastics,15
1920,Swimming,15
2012,Diving,15
1980,Hockey,15
1996,Rhythmic Gymnastics,15
1988,Gymnastics,15
1980,Swimming,15
1992,Alpine Skiing,15
2000,Swimming,15
1976,Swimming,15
1996,Swimming,15
1980,Swimming,15
1956,Diving,15
1996,Swimming,15
2000,Swimming,15
1980,Shooting,15
1968,Gymnastics,15
1964,Diving,15
1964,Swimming,15
1928,Boxing,15
1968,Gymnastics,15
1976,Swimming,15
1980,Swimming,15
1968,Swimming,15
1980,Swimming,15
2000,Swimming,15
2004,Swimming,15
1968,Gymnastics,15
1996,Rhythmic Gymnastics,15
2000,Diving,15
1972,Swimming,15
1956,Figure Skating,15
2004,Gymnastics,15
1968,Swimming,15
2000,Athletics,15
2000,Gymnastics,15
2004,Swimming,15
1984,Rhythmic Gymnastics,15
1980,Swimming,15
1968,Swimming,15
1972,Swimming,15
1968,Swimming,15
1968,Rowing,15
1928,Cycling,15
1960,Swimming,15
2000,Swimming,15
1972,Figure Skating,15
1996,Swimming,15
2004,Gymnastics,15
1992,Gymnastics,15
1996,Swimming,15
1992,Figure Skating,15
2008,Diving,15
1996,Swimming,15
1984,Athletics,15
1980,Figure Skating,15
1992,Athletics,15
1972,Swimming,15
2000,Swimming,15
2000,Athletics,15
2016,Athletics,15
1984,Athletics,15
2004,Swimming,15
1998,Short Track Speed Skating,15
1998,Ski Jumping,15
1992,Rhythmic Gymnastics,15
1952,Gymnastics,15
1968,Rowing,15
1976,Swimming,15
2000,Gymnastics,15
1988,Gymnastics,15
1936,Figure Skating,15
1980,Ski Jumping,15
1976,Gymnastics,15
1948,Swimming,15
1972,Swimming,15
1996,Swimming,15
1988,Swimming,15
2010,Freestyle Skiing,15
1988,Swimming,15
1980,Gymnastics,15
1988,Swimming,15
1936,Swimming,15
1988,Swimming,15
1984,Gymnastics,15
1994,Figure Skating,15
2004,Swimming,15
2004,Rhythmic Gymnastics,15
1996,Swimming,15
2004,Swimming,15
1972,Gymnastics,15
1948,Gymnastics,15
1964,Swimming,15
1992,Gymnastics,15
1920,Rowing,15
2004,Gymnastics,15
2000,Swimming,15
1980,Gymnastics,15
1972,Figure Skating,15
1964,Swimming,15
1968,Swimming,15
1972,Swimming,15
2004,Gymnastics,15
1976,Volleyball,15
1972,Gymnastics,15
1948,Alpine Skiing,15
2016,Gymnastics,15
2000,Diving,15
1996,Gymnastics,15
2008,Swimming,15
1968,Gymnastics,15
2016,Table Tennis,15
1992,Figure Skating,15
2000,Swimming,15
1992,Handball,15
2008,Swimming,15
1988,Gymnastics,15
1980,Speed Skating,15
1928,Bobsleigh,15
1960,Swimming,15
1972,Gymnastics,15
1932,Sailing,15
1984,Rhythmic Gymnastics,15
2008,Gymnastics,15
1976,Fencing,15
1980,Swimming,15
1980,Figure Skating,15
1976,Swimming,15
1976,Diving,15
1976,Figure Skating,15
2008,Gymnastics,15
1996,Swimming,15
1980,Gymnastics,15
1988,Swimming,15
1992,Alpine Skiing,15
2008,Diving,15
1968,Swimming,15
1984,Gymnastics,15
1996,Rhythmic Gymnastics,15
1952,Swimming,15
2000,Swimming,15
1968,Swimming,15
2014,Figure Skating,15
2004,Rhythmic Gymnastics,15
1992,Speed Skating,15
1976,Speed Skating,15
1972,Swimming,15
2004,Athletics,15
1956,Figure Skating,15
1956,Athletics,15
1980,Athletics,15
1980,Swimming,15
1984,Gymnastics,15
2014,Ski Jumping,15
1972,Figure Skating,15
1988,Swimming,15
1988,Gymnastics,15
1984,Diving,15
2002,Short Track Speed Skating,15
1972,Luge,15
1980,Swimming,15
1968,Swimming,15
1968,Swimming,15
1998,Figure Skating,15
1996,Gymnastics,15
1952,Swimming,15
1980,Gymnastics,15
1964,Figure Skating,15
2006,Short Track Speed Skating,15
1964,Canoeing,15
1972,Swimming,15
1996,Swimming,15
1956,Swimming,15
1976,Figure Skating,15
1976,Swimming,15
2004,Table Tennis,15
1960,Figure Skating,15
1996,Gymnastics,15
1936,Swimming,15
1992,Gymnastics,15
2002,Short Track Speed Skating,15
1984,Swimming,15
1994,Speed Skating,15
1972,Swimming,15
1980,Swimming,15
1988,Gymnastics,15
1972,Gymnastics,15
1988,Shooting,15
1988,Swimming,15
1988,Gymnastics,15
1996,Gymnastics,15
2004,Gymnastics,15
1968,Sailing,15
2012,Swimming,15
1968,Swimming,15
1972,Athletics,15
1976,Athletics,15
2004,Rhythmic Gymnastics,15
1996,Sailing,15
1980,Gymnastics,15
2002,Short Track Speed Skating,15
1984,Gymnastics,15
2004,Swimming,15
1972,Boxing,15
1936,Swimming,15
1968,Swimming,15
1948,Swimming,15
1972,Swimming,15
1900,Rowing,15
1956,Swimming,15
1972,Swimming,15
2012,Swimming,15
1984,Swimming,15
1972,Swimming,15
1992,Swimming,15
1928,Swimming,15
2000,Swimming,15
1960,Figure Skating,15
1972,Figure Skating,15
1996,Rhythmic Gymnastics,15
1932,Gymnastics,15
1996,Swimming,15
1964,Swimming,15
2000,Swimming,15
2000,Swimming,15
1952,Swimming,15
1996,Rhythmic Gymnastics,15
1928,Swimming,15
2004,Swimming,15
2004,Swimming,15
1956,Figure Skating,15
1956,Swimming,15
1984,Swimming,15
1968,Athletics,15
2016,Fencing,15
1988,Swimming,15
1960,Rowing,15
1980,Gymnastics,15
1984,Swimming,15
1988,Gymnastics,15
1972,Swimming,15
1976,Swimming,15
1984,Diving,15
1992,Gymnastics,15
1960,Swimming,15
1984,Synchronized Swimming,15
1936,Swimming,15
1928,Figure Skating,15
1936,Figure Skating,15
1972,Swimming,15
1972,Gymnastics,15
1988,Swimming,15
1996,Tennis,15
2014,Snowboarding,15
2016,Weightlifting,15
1960,Gymnastics,15
1936,Diving,15
2004,Swimming,15
1960,Swimming,15
1968,Gymnastics,15
1984,Swimming,15
1948,Swimming,15
1988,Swimming,15
2004,Gymnastics,15
1976,Swimming,15
1976,Swimming,15
1992,Gymnastics,15
1996,Gymnastics,15
2004,Swimming,15
1960,Swimming,15
1988,Alpine Skiing,15
1992,Swimming,15
1968,Swimming,15
1936,Figure Skating,15
2000,Diving,15
1996,Swimming,15
1996,Swimming,15
1984,Gymnastics,15
2000,Athletics,15
1932,Swimming,15
1980,Swimming,15
1952,Swimming,15
1988,Alpine Skiing,15
