year,event,value
1968,Gymnastics,127
1988,Boxing,127
1988,Boxing,128
1972,Boxing,130
1988,Boxing,130
1980,Swimming,131
1984,Shooting,132
1984,Shooting,132
1972,Rowing,132
1984,Gymnastics,132
1968,Boxing,133
2016,Gymnastics,133
1984,Boxing,135
1988,Boxing,135
1980,Gymnastics,135
1980,Gymnastics,135
1976,Gymnastics,136
1980,Gymnastics,136
2000,Gymnastics,136
1992,Gymnastics,136
1996,Gymnastics,136
1976,Cycling,136
2016,Gymnastics,137
1956,Figure Skating,137
1960,Figure Skating,137
1964,Wrestling,137
1976,Rowing,137
1984,Gymnastics,137
2008,Diving,137
1980,Hockey,138
1984,Cycling,138
1988,Cycling,138
2008,Swimming,138
1996,Gymnastics,138
2008,Gymnastics,138
2008,Gymnastics,138
1972,Swimming,139
2004,Gymnastics,139
2000,Gymnastics,139
2008,Gymnastics,139
2004,Gymnastics,139
1996,Gymnastics,139
2000,Gymnastics,139
2004,Gymnastics,139
1992,Gymnastics,139
1988,Wrestling,140
1992,Wrestling,140
1980,Football,140
2004,Swimming,140
2008,Swimming,140
1980,Handball,140
2012,Gymnastics,140
1948,Weightlifting,140
2008,Gymnastics,140
1976,Rowing,140
2012,Weightlifting,140
1992,Boxing,140
1996,Gymnastics,140
1984,Gymnastics,140
1988,Gymnastics,140
1988,Gymnastics,140
2016,Gymnastics,140
2000,Gymnastics,140
2004,Gymnastics,140
2008,Gymnastics,140
1980,Gymnastics,141
2000,Gymnastics,141
2008,Weightlifting,141
2008,Gymnastics,141
2012,Gymnastics,141
2000,Gymnastics,141
2004,Athletics,142
1996,Gymnastics,142
1996,Gymnastics,142
1980,Swimming,142
1976,Gymnastics,142
2008,Gymnastics,142
2012,Gymnastics,142
1984,Rowing,142
1980,Gymnastics,142
1968,Alpine Skiing,142
1976,Alpine Skiing,142
1992,Gymnastics,142
1988,Gymnastics,142
1998,Figure Skating,142
1980,Gymnastics,142
1988,Gymnastics,142
1988,Boxing,142
1980,Gymnastics,142
1996,Gymnastics,142
1988,Diving,142
1992,Diving,142
2008,Weightlifting,142
2012,Gymnastics,142
2012,Weightlifting,142
1920,Diving,142
1924,Diving,142
1988,Rhythmic Gymnastics,142
2000,Gymnastics,142
1988,Gymnastics,142
1992,Gymnastics,142
1996,Gymnastics,142
1996,Gymnastics,142
1996,Gymnastics,142
2016,Gymnastics,143
2000,Gymnastics,143
1988,Gymnastics,143
1976,Boxing,143
1984,Gymnastics,143
2004,Judo,143
1996,Gymnastics,143
2004,Gymnastics,143
1968,Figure Skating,143
2004,Gymnastics,143
1980,Gymnastics,143
1996,Gymnastics,143
2004,Gymnastics,143
2000,Gymnastics,143
1972,Figure Skating,143
2016,Swimming,143
2016,Gymnastics,143
2004,Gymnastics,143
2016,Gymnastics,143
1968,Gymnastics,144
1980,Gymnastics,144
2008,Gymnastics,144
2012,Gymnastics,144
2000,Gymnastics,144
1988,Gymnastics,144
1980,Gymnastics,144
1996,Gymnastics,144
2004,Gymnastics,144
2008,Weightlifting,144
2016,Gymnastics,144
1996,Gymnastics,144
2000,Gymnastics,144
1988,Gymnastics,144
2004,Gymnastics,144
1992,Gymnastics,144
1980,Gymnastics,144
1980,Gymnastics,144
1996,Gymnastics,144
1976,Weightlifting,144
1988,Gymnastics,145
1972,Wrestling,145
2008,Gymnastics,145
2004,Weightlifting,145
2012,Athletics,145
1984,Athletics,145
2004,Gymnastics,145
2008,Gymnastics,145
2012,Gymnastics,145
1980,Gymnastics,145
2008,Gymnastics,145
2000,Weightlifting,145
1988,Figure Skating,145
1992,Figure Skating,145
2008,Gymnastics,145
2004,Gymnastics,145
2008,Gymnastics,145
2008,Gymnastics,145
2000,Gymnastics,145
1996,Gymnastics,145
1988,Gymnastics,145
2016,Weightlifting,145
