year,event,value
1900,Croquet,39.5
1900,Golf,30.75
1900,Sailing,32
1900,Tennis,23.88888889
1904,Archery,50.23076923
1906,Tennis,23.5
1908,Archery,39.89473684
1908,Figure Skating,23.57142857
1908,Motorboating,26
1908,Tennis,31.08333333
1912,Diving,19.14285714
1912,Swimming,18.48837209
1912,Tennis,29.46666667
1920,Art Competitions,41
1920,Diving,20.84210526
1920,Figure Skating,28.46153846
1920,Sailing,30
1920,Swimming,18.65116279
1920,Tennis,29.75555556
1924,Art Competitions,45.15
1924,Diving,20.9047619
1924,Fencing,31.94117647
1924,Figure Skating,25.625
1924,Sailing,21
1924,Swimming,19.11594203
1924,Tennis,28.9516129
1928,Art Competitions,39.80769231
1928,Athletics,20.72413793
1928,Diving,21.20833333
1928,Fencing,27.7
1928,Figure Skating,26.17857143
1928,Gymnastics,19.4
1928,Sailing,32.5
1928,Swimming,18.86956522
1932,Art Competitions,42.97744361
1932,Athletics,20.2375
1932,Diving,19.61538462
1932,Fencing,24.5625
1932,Figure Skating,22.57142857
1932,Swimming,18.7972973
1936,Alpine Skiing,24.89189189
1936,Alpinism,43
1936,Art Competitions,44.40625
1936,Athletics,22.64179104
1936,Diving,20.05405405
1936,Fencing,27.09756098
1936,Figure Skating,21.04545455
1936,Gymnastics,22.984375
1936,Sailing,28.66666667
1936,Swimming,18.38059701
1948,Alpine Skiing,24.25806452
1948,Art Competitions,51.06349206
1948,Athletics,23.13100437
1948,Canoeing,25.33333333
1948,Diving,23.55172414
1948,Fencing,32
1948,Figure Skating,19.525
1948,Gymnastics,23.58333333
1948,Swimming,19.93846154
1952,Alpine Skiing,23.18110236
1952,Athletics,22.67449664
1952,Canoeing,27.23076923
1952,Cross Country Skiing,24.85
1952,Diving,21.27586207
1952,Equestrianism,30.66666667
1952,Fencing,31.77142857
1952,Figure Skating,19.81578947
1952,Gymnastics,23.09576837
1952,Sailing,28
1952,Swimming,20.1299435
1956,Alpine Skiing,23.54166667
1956,Athletics,21.85377358
1956,Canoeing,24.88888889
1956,Cross Country Skiing,23.48571429
1956,Diving,23.22580645
1956,Equestrianism,36.17391304
1956,Fencing,28.54545455
1956,Figure Skating,18.09375
1956,Gymnastics,22.50478469
1956,Swimming,19.01449275
1960,Alpine Skiing,21.69767442
1960,Athletics,22.78888889
1960,Canoeing,24.31428571
1960,Cross Country Skiing,26.12820513
1960,Diving,23.41666667
1960,Equestrianism,31.77777778
1960,Fencing,26.33628319
1960,Figure Skating,17.79487179
1960,Gymnastics,21.77374302
1960,Sailing,48
1960,Speed Skating,22.47727273
1960,Swimming,18.10441767
1964,Alpine Skiing,21.66666667
1964,Athletics,22.80758017
1964,Canoeing,23.87878788
1964,Cross Country Skiing,25.59340659
1964,Diving,19.55555556
1964,Equestrianism,25.60869565
1964,Fencing,26.41860465
1964,Figure Skating,18.10638298
1964,Gymnastics,21.92405063
1964,Luge,24.47058824
1964,Sailing,34
1964,Speed Skating,23.00877193
1964,Swimming,17.94545455
1964,Volleyball,23.35294118
1968,Alpine Skiing,20.45185185
1968,Athletics,22.96327684
1968,Canoeing,24.34285714
1968,Cross Country Skiing,27.17391304
1968,Diving,20.19565217
1968,Equestrianism,32.28571429
1968,Fencing,27.11363636
1968,Figure Skating,18.24
1968,Gymnastics,19.62010221
1968,Luge,21.5
1968,Shooting,25.33333333
1968,Speed Skating,21.75221239
1968,Swimming,17.1575985
1968,Volleyball,23.25287356
1972,Alpine Skiing,20.248
1972,Archery,31.45
1972,Athletics,22.77932406
1972,Canoeing,24.27868852
1972,Cross Country Skiing,24.8559322
1972,Diving,20.73684211
1972,Equestrianism,34.14035088
1972,Fencing,26.63917526
1972,Figure Skating,18
1972,Gymnastics,18.3125
1972,Luge,21.40909091
1972,Shooting,28.25
1972,Speed Skating,21.9826087
1972,Swimming,17.12
1972,Volleyball,23.86813187
1976,Alpine Skiing,19.192
1976,Archery,29.15384615
1976,Athletics,23.0477327
1976,Basketball,23.18055556
1976,Canoeing,22.86046512
1976,Cross Country Skiing,23.42741935
1976,Diving,19.94230769
1976,Equestrianism,30.93333333
1976,Fencing,25.60550459
1976,Figure Skating,18.62264151
1976,Gymnastics,17.687251
1976,Handball,23.75609756
1976,Luge,22.30769231
1976,Rowing,23.12857143
1976,Sailing,30
1976,Shooting,27
1976,Speed Skating,22.16981132
1976,Swimming,16.81075697
1976,Volleyball,22.92708333
1980,Alpine Skiing,20.25203252
1980,Archery,27.86206897
1980,Athletics,23.53243243
1980,Basketball,24
1980,Canoeing,22.14285714
1980,Cross Country Skiing,23.97222222
1980,Diving,18.97560976
1980,Equestrianism,31.13333333
1980,Fencing,25.16666667
1980,Figure Skating,19.11111111
1980,Gymnastics,16.31284916
1980,Handball,25.97058824
1980,Hockey,22.91208791
1980,Luge,22.61538462
1980,Rowing,23.40880503
1980,Sailing,18
1980,Shooting,33.33333333
1980,Speed Skating,21.78125
1980,Swimming,17.05625
1980,Volleyball,22.84444444
1984,Alpine Skiing,20.77099237
1984,Archery,27.53191489
1984,Athletics,24.16865079
1984,Basketball,22.3943662
1984,Canoeing,24.30508475
1984,Cross Country Skiing,24.29166667
1984,Cycling,22.97777778
1984,Diving,20.48888889
1984,Equestrianism,31.625
1984,Fencing,24
1984,Figure Skating,19.78947368
1984,Gymnastics,16.82585752
1984,Handball,23.54878049
1984,Hockey,25.17708333
1984,Luge,21.77777778
1984,Rhythmic Gymnastics,18.90909091
1984,Rowing,23.70391061
1984,Sailing,25
1984,Shooting,27.35869565
1984,Speed Skating,21.97674419
1984,Swimming,18.02869757
1984,Synchronized Swimming,19.73170732
1984,Volleyball,22.3
1988,Alpine Skiing,21.10373444
1988,Archery,25.56074766
1988,Athletics,24.72517007
1988,Basketball,24.03225806
1988,Canoeing,23.12371134
1988,Cross Country Skiing,24.09047619
1988,Cycling,24
1988,Diving,20.76595745
1988,Equestrianism,34.62626263
1988,Fencing,24.81904762
1988,Figure Skating,20.45454545
1988,Gymnastics,16.88122605
1988,Handball,24.28828829
1988,Hockey,24.78225806
1988,Luge,23.45833333
1988,Rhythmic Gymnastics,18.28205128
1988,Rowing,24.28837209
1988,Sailing,24.86363636
1988,Shooting,27.82822086
1988,Speed Skating,23.15827338
1988,Swimming,18.54320988
1988,Synchronized Swimming,20.44736842
1988,Table Tennis,22.71794872
1988,Tennis,21.85526316
1988,Volleyball,22.81052632
1992,Alpine Skiing,21.87356322
1992,Archery,24.19642857
1992,Athletics,25.15517241
1992,Badminton,23.75454545
1992,Basketball,24.23404255
1992,Biathlon,23.16756757
1992,Canoeing,24.97887324
1992,Cross Country Skiing,24.94326241
1992,Cycling,25.31395349
1992,Diving,21.56140351
1992,Equestrianism,33.47154472
1992,Fencing,25.02830189
1992,Figure Skating,19.8030303
1992,Freestyle Skiing,24.33333333
1992,Gymnastics,16.7406015
1992,Handball,24.68141593
1992,Hockey,24.672
1992,Judo,23.61349693
1992,Luge,23.70833333
1992,Rhythmic Gymnastics,16.78571429
1992,Rowing,25.11374408
1992,Sailing,25.3452381
1992,Shooting,27.94382022
1992,Short Track Speed Skating,21.52542373
1992,Speed Skating,23.40522876
1992,Swimming,19.0881459
1992,Synchronized Swimming,21.76404494
1992,Table Tennis,23.75609756
1992,Tennis,21.87301587
1992,Volleyball,23.41573034
1994,Alpine Skiing,22.05691057
1994,Biathlon,24.46116505
1994,Cross Country Skiing,25.28928571
1994,Figure Skating,20.18181818
1994,Freestyle Skiing,23.23913043
1994,Luge,23.84
1994,Short Track Speed Skating,21.60215054
1994,Speed Skating,23.61538462
1996,Archery,25.24770642
1996,Athletics,25.98102679
1996,Badminton,25.15789474
1996,Basketball,25.4965035
1996,Beach Volleyball,28.94444444
1996,Canoeing,25.59235669
1996,Cycling,26.8875
1996,Diving,20.6031746
1996,Equestrianism,34.92156863
1996,Fencing,26.18181818
1996,Football,24.94354839
1996,Gymnastics,16.78993056
1996,Handball,25.46610169
1996,Hockey,25.4453125
1996,Judo,24.25827815
1996,Rhythmic Gymnastics,17.63333333
1996,Rowing,25.72685185
1996,Sailing,26.22
1996,Shooting,28.17204301
1996,Softball,25.99166667
1996,Swimming,19.54465409
1996,Synchronized Swimming,22.18055556
1996,Table Tennis,25.44715447
1996,Tennis,22.975
1996,Volleyball,24.65671642
1998,Alpine Skiing,22.6875
1998,Biathlon,24.62244898
1998,Cross Country Skiing,26.02058824
1998,Curling,29.825
1998,Figure Skating,21.56944444
1998,Freestyle Skiing,24.17307692
1998,Ice Hockey,24.03333333
1998,Luge,26.17241379
1998,Short Track Speed Skating,21.75
1998,Snowboarding,23.50877193
1998,Speed Skating,24.53164557
2000,Archery,26.3
2000,Athletics,26.01939864
2000,Badminton,24.93277311
2000,Basketball,26.69014085
2000,Beach Volleyball,28.33333333
2000,Canoeing,26.13592233
2000,Cycling,27.78571429
2000,Diving,21.72173913
2000,Equestrianism,33.53
2000,Fencing,26.48507463
2000,Football,24.81451613
2000,Gymnastics,17.66135458
2000,Handball,26.08219178
2000,Hockey,25.88679245
2000,Judo,25.0310559
2000,Modern Pentathlon,26.54166667
2000,Rhythmic Gymnastics,18.07142857
2000,Rowing,27.21134021
2000,Sailing,26.91578947
2000,Shooting,29.50222222
2000,Softball,27.49166667
2000,Swimming,20.5126162
2000,Synchronized Swimming,22.94017094
2000,Table Tennis,25.9389313
2000,Taekwondo,24.125
2000,Tennis,23.3968254
2000,Trampolining,24.33333333
2000,Triathlon,27.89583333
2000,Volleyball,24.92753623
2000,Water Polo,25.93589744
2000,Weightlifting,24.2
2002,Alpine Skiing,23.57258065
2002,Biathlon,26.07782101
