year,event,value
1936,Aeronautics,26
1936,Alpinism,49
1900,Basque Pelota,26
1932,Alpinism,24.5
1896,Wrestling,23.33333333
1904,Diving,23.66666667
1904,Roque,53.33333333
1904,Weightlifting,23
1896,Fencing,21.66666667
1896,Weightlifting,22.16666667
1896,Swimming,18.71428571
1928,Skeleton,32.5
1900,Golf,32.55555556
1920,Art Competitions,38.9
1900,Croquet,31.63636364
1900,Tug-Of-War,28
1908,Jeu De Paume,32.45454545
1908,Polo,34.27272727
1908,Figure Skating,31.91666667
1908,Racquets,28.66666667
1924,Alpinism,40
2000,Trampolining,23.91666667
1904,Tug-Of-War,29
1908,Motorboating,33.85714286
1920,Figure Skating,34.5
1932,Diving,22.21428571
1896,Tennis,21.13333333
1906,Weightlifting,24.8
1948,Skeleton,38.46666667
1900,Football,21.1875
1912,Tug-Of-War,31.625
1920,Polo,37.1875
1924,Curling,43.4375
1924,Figure Skating,29.875
2004,Trampolining,25.5
2008,Trampolining,24
2012,Trampolining,25.625
2016,Trampolining,24.4375
1904,Lacrosse,26.82352941
1900,Cricket,29.33333333
1904,Boxing,23.44444444
1904,Water Polo,23.33333333
1906,Football,23.05555556
1932,Figure Skating,29.22222222
1896,Cycling,22.73684211
1896,Shooting,30.68421053
1900,Polo,34.05263158
1906,Diving,26.89473684
1906,Wrestling,24.52631579
1908,Lacrosse,26.89473684
1924,Military Ski Patrol,23.73684211
1906,Tug-Of-War,25.25
1908,Boxing,25.1
1920,Modern Pentathlon,28.76190476
1932,Modern Pentathlon,27.47619048
1936,Polo,35.04761905
1908,Rugby,24.60869565
1924,Polo,35.86956522
1924,Bobsleigh,27.875
1924,Ski Jumping,26.20833333
2000,Modern Pentathlon,25.95833333
1900,Tennis,30.36
1904,Fencing,32.24
1912,Art Competitions,44.88
1952,Nordic Combined,24.72
1900,Archery,36.03846154
1900,Rugby,24
1900,Water Polo,22.19230769
1908,Water Polo,23.69230769
2002,Skeleton,31
1906,Tennis,22.81481481
1920,Rugby,23.48148148
1928,Figure Skating,29.03703704
1932,Weightlifting,26.2962963
1952,Figure Skating,22.03703704
1956,Figure Skating,20.22222222
2006,Skeleton,30.18518519
2014,Skeleton,28.44444444
1984,Nordic Combined,23.57142857
2010,Skeleton,29.71428571
1920,Tug-Of-War,30.96551724
