year,event,value
1980,Gymnastics,25
1980,Gymnastics,28
2008,Diving,28
2000,Gymnastics,28
1956,Football,28
1980,Gymnastics,30
1992,Rhythmic Gymnastics,30
1976,Gymnastics,30
1980,Gymnastics,30
1992,Gymnastics,30
2000,Gymnastics,30
2004,Gymnastics,30
1996,Gymnastics,30
2016,Volleyball,30
1984,Gymnastics,31
2004,Gymnastics,31
2016,Gymnastics,31
2000,Gymnastics,31
1984,Gymnastics,32
2000,Gymnastics,32
2008,Gymnastics,32
1998,Figure Skating,32
2004,Gymnastics,32
2000,Gymnastics,32
1980,Gymnastics,32
1984,Gymnastics,32
1988,Diving,32
1992,Diving,32
2000,Gymnastics,33
1988,Gymnastics,33
1980,Gymnastics,33
2008,Gymnastics,33
2012,Gymnastics,33
2008,Gymnastics,33
1980,Gymnastics,33
1996,Gymnastics,33
1996,Gymnastics,33
1988,Rhythmic Gymnastics,33
2016,Gymnastics,33
2008,Gymnastics,34
2012,Gymnastics,34
2000,Gymnastics,34
1980,Gymnastics,34
1968,Figure Skating,34
1980,Gymnastics,34
1996,Gymnastics,34
1984,Gymnastics,34
1988,Gymnastics,34
2016,Gymnastics,34
2004,Gymnastics,34
1988,Gymnastics,34
1980,Gymnastics,34
2008,Gymnastics,34
2012,Gymnastics,34
1996,Gymnastics,35
2000,Gymnastics,35
1980,Gymnastics,35
1984,Gymnastics,35
1988,Gymnastics,35
1980,Gymnastics,35
2008,Gymnastics,35
1992,Figure Skating,35
2016,Gymnastics,35
1988,Athletics,35
1988,Gymnastics,35
1988,Gymnastics,35
1988,Gymnastics,35
2008,Gymnastics,35
2016,Gymnastics,35
1988,Athletics,35
1992,Athletics,35
1984,Gymnastics,35
2012,Gymnastics,35
2008,Gymnastics,35
2012,Gymnastics,35
2004,Gymnastics,36
1996,Rhythmic Gymnastics,36
1988,Gymnastics,36
1984,Gymnastics,36
1980,Gymnastics,36
2004,Gymnastics,36
1996,Gymnastics,36
2012,Diving,36
2004,Gymnastics,36
1992,Gymnastics,36
2004,Gymnastics,36
1956,Figure Skating,36
1960,Figure Skating,36
1996,Gymnastics,36
2004,Gymnastics,36
2000,Gymnastics,36
2004,Gymnastics,36
1996,Rhythmic Gymnastics,36
1988,Gymnastics,36
2008,Gymnastics,36
1998,Figure Skating,36
1988,Gymnastics,36
1996,Gymnastics,36
2000,Gymnastics,36
2000,Gymnastics,36
2004,Athletics,36
2008,Athletics,36
1996,Gymnastics,36
2004,Gymnastics,36
2000,Gymnastics,36
2004,Rhythmic Gymnastics,36
2016,Gymnastics,36
1996,Gymnastics,36
1992,Gymnastics,36
1984,Rhythmic Gymnastics,37
2000,Rhythmic Gymnastics,37
2008,Gymnastics,37
2016,Gymnastics,37
1980,Gymnastics,37
1976,Gymnastics,37
2012,Gymnastics,37
2000,Gymnastics,37
2000,Gymnastics,37
1976,Gymnastics,37
1996,Gymnastics,37
2008,Gymnastics,37
2004,Gymnastics,37
2016,Gymnastics,37
2000,Gymnastics,37
1996,Gymnastics,37
2004,Gymnastics,37
2000,Gymnastics,37
2004,Gymnastics,37
1988,Gymnastics,37
1992,Gymnastics,37
1992,Gymnastics,37
1976,Gymnastics,37
2008,Gymnastics,37
2004,Gymnastics,37
1984,Diving,37
1992,Rhythmic Gymnastics,37
1996,Rhythmic Gymnastics,37
1992,Gymnastics,37
1996,Gymnastics,37
2008,Gymnastics,37
1996,Gymnastics,37
2012,Gymnastics,37
2016,Gymnastics,37
1984,Gymnastics,37
1936,Rowing,37
2004,Gymnastics,37
2012,Gymnastics,38
2008,Gymnastics,38
1996,Rhythmic Gymnastics,38
1996,Rhythmic Gymnastics,38
2012,Rhythmic Gymnastics,38
1988,Diving,38
1996,Athletics,38
1980,Gymnastics,38
1996,Gymnastics,38
2004,Gymnastics,38
1992,Gymnastics,38
1996,Gymnastics,38
2000,Gymnastics,38
1992,Gymnastics,38
1996,Gymnastics,38
1964,Rowing,38
1996,Gymnastics,38
2004,Gymnastics,38
2000,Gymnastics,38
1996,Rhythmic Gymnastics,38
1984,Gymnastics,38
1968,Figure Skating,38
1996,Gymnastics,38
2010,Figure Skating,38
1984,Gymnastics,38
1996,Rhythmic Gymnastics,38
2000,Rhythmic Gymnastics,38
2004,Gymnastics,38
1996,Rhythmic Gymnastics,38
1980,Gymnastics,38
2008,Gymnastics,38
2012,Gymnastics,38
1996,Gymnastics,38
2000,Rhythmic Gymnastics,38
1976,Gymnastics,38
2006,Figure Skating,38
1996,Gymnastics,38
1992,Gymnastics,38
2000,Baseball,38
1980,Figure Skating,38
1972,Figure Skating,38
2008,Gymnastics,38
1988,Gymnastics,38
1988,Gymnastics,38
1980,Gymnastics,38
2008,Rhythmic Gymnastics,38
1964,Gymnastics,38
2016,Athletics,38
2008,Gymnastics,38
1988,Gymnastics,38
1988,Gymnastics,38
1992,Gymnastics,38
1984,Gymnastics,38
2004,Gymnastics,39
1988,Gymnastics,39
2012,Synchronized Swimming,39
2008,Gymnastics,39
2000,Rhythmic Gymnastics,39
1996,Rhythmic Gymnastics,39
2008,Gymnastics,39
1996,Athletics,39
1996,Rhythmic Gymnastics,39
2000,Swimming,39
2008,Swimming,39
2000,Gymnastics,39
1988,Gymnastics,39
2008,Gymnastics,39
2004,Gymnastics,39
1992,Gymnastics,39
2004,Gymnastics,39
1980,Gymnastics,39
2016,Diving,39
1996,Gymnastics,39
1972,Gymnastics,39
1976,Gymnastics,39
1992,Gymnastics,39
2004,Gymnastics,39
2000,Rhythmic Gymnastics,39
1992,Gymnastics,39
1992,Gymnastics,39
2000,Gymnastics,39
1992,Gymnastics,39
1996,Gymnastics,39
1972,Gymnastics,39
2004,Athletics,39
2004,Gymnastics,39
2008,Gymnastics,39
1976,Gymnastics,39
1980,Gymnastics,39
1996,Gymnastics,39
2000,Gymnastics,39
2016,Athletics,39
2016,Athletics,39
1996,Gymnastics,39
2012,Athletics,39
2016,Athletics,39
2012,Gymnastics,39
1996,Gymnastics,39
1976,Rowing,39
1980,Rowing,39
2004,Gymnastics,39
2008,Gymnastics,39
2012,Athletics,39
2004,Gymnastics,39
2004,Athletics,40
2008,Athletics,40
2008,Gymnastics,40
1984,Gymnastics,40
2012,Swimming,40
1980,Gymnastics,40
1988,Athletics,40
1988,Athletics,40
1980,Figure Skating,40
1984,Figure Skating,40
1996,Rhythmic Gymnastics,40
1988,Gymnastics,40
1968,Gymnastics,40
1996,Rhythmic Gymnastics,40
1980,Gymnastics,40
1976,Athletics,40
2004,Rhythmic Gymnastics,40
2000,Athletics,40
2008,Athletics,40
2012,Athletics,40
2016,Athletics,40
2000,Swimming,40
1980,Gymnastics,40
1988,Athletics,40
1996,Athletics,40
2004,Gymnastics,40
1980,Gymnastics,40
2008,Rhythmic Gymnastics,40
1984,Rhythmic Gymnastics,40
1984,Athletics,40
1988,Athletics,40
1992,Athletics,40
1996,Athletics,40
1998,Figure Skating,40
2000,Rhythmic Gymnastics,40
1992,Gymnastics,40
1996,Gymnastics,40
2004,Gymnastics,40
1996,Gymnastics,40
2000,Athletics,40
2004,Athletics,40
2008,Athletics,40
2016,Athletics,40
2012,Gymnastics,40
2008,Gymnastics,40
1988,Gymnastics,40
2008,Diving,40
1996,Gymnastics,40
2000,Gymnastics,40
2008,Shooting,40
2016,Diving,40
2012,Athletics,40
2008,Gymnastics,40
1972,Gymnastics,40
2008,Gymnastics,40
1976,Rowing,40
2016,Gymnastics,40
2016,Athletics,40
2000,Athletics,40
2008,Athletics,40
1994,Figure Skating,40
1992,Rhythmic Gymnastics,40
2008,Rhythmic Gymnastics,40
1984,Shooting,40
2000,Gymnastics,40
1984,Figure Skating,40
1992,Athletics,40
1996,Athletics,40
2000,Athletics,40
1996,Gymnastics,40
1980,Gymnastics,40
1996,Gymnastics,40
1996,Gymnastics,40
1984,Gymnastics,40
1992,Gymnastics,40
1996,Gymnastics,40
1980,Gymnastics,40
2004,Athletics,40
1968,Gymnastics,40
2004,Athletics,40
1976,Gymnastics,40
1996,Gymnastics,40
1996,Gymnastics,40
2000,Rhythmic Gymnastics,40
2004,Athletics,40
1988,Gymnastics,40
2008,Rhythmic Gymnastics,40
1988,Gymnastics,40
1960,Rowing,40
1988,Rowing,40
2004,Gymnastics,40
